FID,Id,name,NAME_1,belong,z,aid,type
0,0,南校区教学14号楼,南校区教学14号楼,南校区,24.0,a32,1
1,0,南校区逸夫楼,南校区逸夫楼,南校区,17.52,a33,1
2,0,南校区教学17号楼,南校区教学17号楼,南校区,28.0,a34,1
3,0,南校区教学15号楼,南校区教学15号楼,南校区,28.0,a35,1
4,0,南校区教学16号楼,南校区教学16号楼,南校区,12.0,a36,1
5,0,南校区教学22号楼,南校区教学22号楼_1_1,南校区,22.69,a37,1
6,0,南校区教学11号楼,南校区教学11号楼_1_1,南校区,12.24,a38,1
7,0,南校区教学9号楼,南校区教学9号楼,南校区,12.85,a39,1
8,0,南校区教学8号楼(老化学楼),南校区教学8号楼(老化学楼),南校区,12.15,a40,3
9,0,南校区教学4号楼,南校区教学4号楼,南校区,15.66,a41,1
10,0,南校区塑料实验室,南校区塑料实验室,南校区,4.07,a42,2
11,0,药品室,药品室,南校区,3.69,a43,1
12,0,南校区教学3号楼,南校区教学3号楼,南校区,12.15,a44,1
13,0,南校区教学6号楼,南校区教学6号楼,南校区,12.15,a45,1
14,0,南校区教学5号楼,南校区教学5号楼,南校区,12.15,a46,1
15,0,南校区教学12号楼,南校区教学12号楼_1_1,南校区,21.23,a47,1
16,0,高温材料实验室,高温材料实验室,南校区,8.35,a48,2
17,0,南校区教学23号楼（物理科研楼）,南校区教学23号楼（物理科研楼）_1_1,南校区,23.4,a49,1
18,0,南校区教学20号楼,南校区教学20号楼_1_1,南校区,20.52,a50,1
19,0,南校区教学21号楼（机械工程学院）,南校区教学21号楼(机械工程学院)_1_1,南校区,26.84,a51,1
20,0,南校区教学13号楼,南校区教学13号楼_1_1,南校区,12.95,a52,1
21,0,南校区教学18号楼,南校区教学18号楼_1_1,南校区,36.54,a54,1
22,0,浴池(二层以上琴房),浴池(二层以上琴房)_1_1,南校区,13.2,a55,1
23,0,南校区教学22号楼,南校区教学22号楼_2_1,南校区,4.36,a37,1
24,0,南校区教学2号楼,南校区教学2号楼,南校区,12.15,a56,1
25,0,北区产业楼,北区产业楼_2_1,北校区,14.95,a1,2
26,0,土建学院结构实验室（东）,土建学院结构实验室（东）_1_1,北校区,11.25,a2,2
27,0,工程技术培训中心,工程技术培训中心,北校区,10.96,a3,1
28,0,环水复合材料实验室,环水复合材料实验室_1_1,北校区,8.51,a4,2
29,0,材料学院焊接实验室,材料学院焊接实验室,北校区,8.68,a5,3
30,0,材料学院实验室及扩建,材料学院实验室及扩建_1_1,北校区,4.08,a8,2
31,0,金属切削实验室,金属切削实验室,北校区,6.52,a9,2
32,0,北校区新教学楼,北校区新教学楼_1_1,北校区,23.87,a10,1
33,0,水土楼(软件与应用科技学院),水土楼(软件与应用科技学院)_1_1,北校区,13.01,a11,3
34,0,北校区化工楼,北校区化工楼_1_1,北校区,13.31,a12,3
35,0,环水学院农水馆,环水学院农水馆_1_1,北校区,11.92,a13,2
36,0,化工学院化工原理实验楼,化工学院化工原理实验楼,北校区,7.26,a15,2
37,0,环水学院水利馆,环水学院水利馆,北校区,7.12,a16,2
38,0,材力馆,材力馆_1_1,北校区,12.37,a17,2
39,0,公共卫生学院楼,公共卫生学院楼_1_1,东校区,18.5,a22,3
40,0,第二教学楼,第二教学楼,东校区,23.29,a23,1
41,0,人体科学馆,人体科学馆_1_1,东校区,14.43,a373,1
42,0,平房教室,平房教室,东校区,5.02,a24,1
43,0,第三教学楼,第三教学楼,东校区,22.7,a25,1
44,0,体育教研室,体育教研室,东校区,10.54,a26,1
45,0,北校区实验楼,北校区实验楼_1_1,北校区,24.78,a18,1
46,0,公共卫生学院楼,公共卫生学院楼_2_1,东校区,18.5,a22,3
47,0,工科园一组团机械工程学院办公楼,工科园一组团机械工程学院办公楼_1_1,新校区,21.09,g77,3
48,0,现代分析与计算中心,现代分析与计算中心_1_1,新校区,17.49,a58,3
49,0,工科园二组团（4）号楼,工科园二组团（4）号楼_1_1,新校区,20.58,a69,2
50,0,工科园二组团（5）号楼,工科园二组团（5）号楼_1_1,新校区,19.94,a70,3
51,0,工科园二组团（1）号楼,工科园二组团（1）号楼_1_1,新校区,19.92,a68,2
