FID,Id,name,NAME_1,belong,z,aid,type
99,0,东校区北实验楼,东校区北实验楼,东校区,17.44,a29,1.0
265,0,人体科学馆,人体科学馆_1_2,东校区,5.29,a373,1.0
41,0,人体科学馆,人体科学馆_1_1,东校区,14.43,a373,1.0
44,0,体育教研室,体育教研室,东校区,10.54,a26,1.0
259,0,公共卫生学院楼,公共卫生学院楼_1_4,东校区,3.2,a22,3.0
258,0,公共卫生学院楼,公共卫生学院楼_1_3,东校区,3.96,a22,3.0
257,0,公共卫生学院楼,公共卫生学院楼_1_2,东校区,3.07,a22,3.0
39,0,公共卫生学院楼,公共卫生学院楼_1_1,东校区,18.5,a22,3.0
46,0,公共卫生学院楼,公共卫生学院楼_2_1,东校区,18.5,a22,3.0
260,0,公共卫生学院楼,公共卫生学院楼_2_2,东校区,3.2,a22,3.0
116,0,出版社南楼,出版社南楼_1_1,东校区,12.12,g22,3.0
36,0,化工学院化工原理实验楼,化工学院化工原理实验楼,北校区,7.26,a15,2.0
335,0,化工学院生化中心,化工学院生化中心,北校区,7.75,c14,2.0
25,0,北区产业楼,北区产业楼_2_1,北校区,14.95,a1,2.0
266,0,北区产业楼,北区产业楼_1_2,北校区,7.86,a1,2.0
130,0,北区产业楼,北区产业楼_1_1,北校区,79.61,a1,2.0
280,0,北实验室楼,北实验室楼_1_1,北校区,12.12,a142,
287,0,北实验室楼,北实验室楼_2_1,北校区,9.77,a142,
123,0,北校区化工楼,北校区化工楼_3_1,北校区,13.31,a12,3.0
122,0,北校区化工楼,北校区化工楼_2_1,北校区,16.54,a12,3.0
34,0,北校区化工楼,北校区化工楼_1_1,北校区,13.31,a12,3.0
127,0,北校区实验楼,北校区实验楼_2_1,北校区,20.13,a18,1.0
268,0,北校区实验楼,北校区实验楼_1_2,北校区,3.58,a18,1.0
45,0,北校区实验楼,北校区实验楼_1_1,北校区,24.78,a18,1.0
278,0,北校区小礼堂,北校区小礼堂_1_1,北校区,6.92,a140,
295,0,北校区小礼堂,北校区小礼堂_1_2,北校区,2.68,a140,
269,0,北校区新教学楼,北校区新教学楼_1_2,北校区,3.85,a10,1.0
128,0,北校区新教学楼,北校区新教学楼_2_1,北校区,18.84,a10,1.0
32,0,北校区新教学楼,北校区新教学楼_1_1,北校区,23.87,a10,1.0
270,0,北校区新教学楼,北校区新教学楼_1_3,北校区,4.43,a10,1.0
294,0,北校区机械工程学院,北校区机械工程学院_2_1,北校区,9.52,a141,
279,0,北校区机械工程学院,北校区机械工程学院_1_1,北校区,12.01,a141,
333,0,北校区综合楼,北校区综合楼_1_4,北校区,3.5,b357,
330,0,北校区综合楼,北校区综合楼_1_1,北校区,22.34,b357,
331,0,北校区综合楼,北校区综合楼_1_2,北校区,3.02,b357,
332,0,北校区综合楼,北校区综合楼_1_3,北校区,3.02,b357,
354,0,医科园公共卫生学院办公楼,医科园公共卫生学院办公楼_1_1,新校区,8.99,g64,3.0
339,0,医科园公共卫生学院教学楼,医科园公共卫生学院教学楼_1_1,新校区,8.99,a64,3.0
351,0,医科园公共卫生学院教学楼,医科园公共卫生学院教学楼_1_2,新校区,2.32,a64,3.0
346,0,医科园基础医学院A1楼,医科园基础医学院A1楼_1_1,新校区,31.72,c61,3.0
347,0,医科园基础医学院A1楼,医科园基础医学院A1楼_2_1,新校区,37.92,c61,3.0
338,0,医科园基础医学院A2楼,医科园基础医学院A2楼_1_1,新校区,32.74,g61,3.0
337,0,医科园基础医学院B楼,医科园基础医学院B楼,新校区,21.73,a60,1.0
336,0,医科园基础医学院C楼,医科园基础医学院C楼_1_1,新校区,12.72,a59,2.0
345,0,医科园基础医学院D楼(办公楼),医科园基础医学院D楼(办公楼)_1_1,新校区,8.5,a61,3.0
10,0,南校区塑料实验室,南校区塑料实验室,南校区,4.07,a42,2.0
285,0,南校区学习堂,南校区学习堂_1_1,南校区,16.36,a185,
288,0,南校区学习堂,南校区学习堂_2_1,南校区,3.69,a185,
289,0,南校区学习堂,南校区学习堂_3_1,南校区,7.18,a185,
290,0,南校区学习堂,南校区学习堂_4_1,南校区,9.7,a185,
291,0,南校区学习堂,南校区学习堂_5_1,南校区,4.72,a185,
283,0,南校区小礼堂,南校区小礼堂,南校区,5.02,a177,
253,0,南校区教学11号楼,南校区教学11号楼_3_2,南校区,2.41,a38,1.0
6,0,南校区教学11号楼,南校区教学11号楼_1_1,南校区,12.24,a38,1.0
251,0,南校区教学11号楼,南校区教学11号楼_2_2,南校区,2.35,a38,1.0
252,0,南校区教学11号楼,南校区教学11号楼_2_3,南校区,2.42,a38,1.0
254,0,南校区教学11号楼,南校区教学11号楼_3_3,南校区,2.41,a38,1.0
255,0,南校区教学11号楼,南校区教学11号楼_1_2,南校区,2.19,a38,1.0
256,0,南校区教学11号楼,南校区教学11号楼_1_3,南校区,2.13,a38,1.0
101,0,南校区教学11号楼,南校区教学11号楼_2_1,南校区,12.24,a38,1.0
102,0,南校区教学11号楼,南校区教学11号楼_3_1,南校区,16.07,a38,1.0
275,0,南校区教学12号楼,南校区教学12号楼_4_1,南校区,7.12,a47,1.0
15,0,南校区教学12号楼,南校区教学12号楼_1_1,南校区,21.23,a47,1.0
103,0,南校区教学12号楼,南校区教学12号楼_2_1,南校区,17.86,a47,1.0
104,0,南校区教学12号楼,南校区教学12号楼_3_1,南校区,26.54,a47,1.0
248,0,南校区教学13号楼,南校区教学13号楼_1_2,南校区,3.75,a52,1.0
20,0,南校区教学13号楼,南校区教学13号楼_1_1,南校区,12.95,a52,1.0
0,0,南校区教学14号楼,南校区教学14号楼,南校区,24.0,a32,1.0
3,0,南校区教学15号楼,南校区教学15号楼,南校区,28.0,a35,1.0
4,0,南校区教学16号楼,南校区教学16号楼,南校区,12.0,a36,1.0
2,0,南校区教学17号楼,南校区教学17号楼,南校区,28.0,a34,1.0
245,0,南校区教学18号楼,南校区教学18号楼_1_2,南校区,4.61,a54,1.0
246,0,南校区教学18号楼,南校区教学18号楼_1_3,南校区,4.61,a54,1.0
247,0,南校区教学18号楼,南校区教学18号楼_1_4,南校区,9.54,a54,1.0
21,0,南校区教学18号楼,南校区教学18号楼_1_1,南校区,36.54,a54,1.0
115,0,南校区教学19号楼,南校区教学19号楼_4_1,南校区,8.48,a57,1.0
112,0,南校区教学19号楼,南校区教学19号楼_1_1,南校区,20.53,a57,1.0
113,0,南校区教学19号楼,南校区教学19号楼_2_1,南校区,12.43,a57,1.0
114,0,南校区教学19号楼,南校区教学19号楼_3_1,南校区,8.48,a57,1.0
110,0,南校区教学20号楼,南校区教学20号楼_2_1,南校区,20.52,a50,1.0
111,0,南校区教学20号楼,南校区教学20号楼_3_1,南校区,23.52,a50,1.0
18,0,南校区教学20号楼,南校区教学20号楼_1_1,南校区,20.52,a50,1.0
19,0,南校区教学21号楼（机械工程学院）,南校区教学21号楼(机械工程学院)_1_1,南校区,26.84,a51,1.0
271,0,南校区教学21号楼（机械工程学院）,南校区教学21号楼(机械工程学院)_2_1,南校区,8.24,a51,1.0
106,0,南校区教学22号楼,南校区教学22号楼_3_1,南校区,4.36,a37,1.0
107,0,南校区教学22号楼,南校区教学22号楼_4_1,南校区,4.36,a37,1.0
108,0,南校区教学22号楼,南校区教学22号楼_5_1,南校区,26.23,a37,1.0
109,0,南校区教学22号楼,南校区教学22号楼_6_1,南校区,26.23,a37,1.0
