t,id,name,childrenName,belong,height,buildingId,type
0,0,东区招待所,东区招待所_1_2,东校区,2.37,g349,0
1,1,东区招待所,东区招待所_1_1,东校区,23.24,g349,0
2,2,东区行政楼,东区行政楼_2_1,东校区,4.15,a27,0
3,3,东区行政楼,东区行政楼_1_1,东校区,25.72,a27,0
4,4,东区行政楼,东区行政楼_3_1,东校区,3.25,a27,0
5,5,东校区北实验楼,东校区北实验楼,东校区,17.44,a29,1
6,6,东校区浴池,东校区浴池_1_1,东校区,13.07,a153,0
7,7,东校区浴池,东校区浴池_1_2,东校区,4.79,a153,0
8,8,东校区综合楼,东校区综合楼_1_1,东校区,21.55,a30,0
9,9,东校区综合楼,东校区综合楼_1_3,东校区,3.33,a30,0
10,10,东校区综合楼,东校区综合楼_1_2,东校区,3.72,a30,0
11,11,东校区综合楼,东校区综合楼_2_1,东校区,4.84,a30,0
12,12,东校区综合楼,东校区综合楼_1_4,东校区,2.86,a30,0
13,13,东校区西大门,东校区西大门_2_1,东校区,4.88,a156,0
14,14,东校区西大门,东校区西大门_1_1,东校区,4.18,a156,0
15,15,中原路31-34号楼门面房,中原路31-34号楼门面房_3,东校区,16.1,a407,0
16,16,中原路31-34号楼门面房,中原路31-34号楼门面房_1,东校区,1.0,a154,0
17,17,中原路31-34号楼门面房,中原路31-34号楼门面房_4,东校区,16.1,a408,0
18,18,中原路31-34号楼门面房,中原路31-34号楼门面房_2,东校区,19.04,a406,0
19,19,人体科学馆,人体科学馆_1_2,东校区,5.29,a373,1
20,20,人体科学馆,人体科学馆_1_1,东校区,14.43,a373,1
21,21,体育教研室,体育教研室,东校区,10.54,a26,1
22,22,供暖中心,供暖中心,南校区,6.27,a403,0
23,23,保卫处(总机楼),保卫处(总机楼)_1_2,南校区,2.61,a179,0
24,24,保卫处(总机楼),保卫处(总机楼)_1_1,南校区,15.03,a179,0
25,25,公共卫生学院楼,公共卫生学院楼_1_1,东校区,18.5,a22,3
26,26,公共卫生学院楼,公共卫生学院楼_1_2,东校区,3.07,a22,3
27,27,公共卫生学院楼,公共卫生学院楼_1_3,东校区,3.96,a22,3
28,28,公共卫生学院楼,公共卫生学院楼_1_4,东校区,3.2,a22,3
29,29,公共卫生学院楼,公共卫生学院楼_2_2,东校区,3.2,a22,3
30,30,公共卫生学院楼,公共卫生学院楼_2_1,东校区,18.5,a22,3
31,31,出版社北楼,出版社北楼,东校区,11.08,a148,0
32,32,出版社南楼,出版社南楼_1_1,东校区,12.12,g22,3
33,33,化工学院化工原理实验楼,化工学院化工原理实验楼,北校区,7.26,a15,2
34,34,化工学院生化中心,化工学院生化中心,北校区,7.75,c14,2
35,35,北区产业楼,北区产业楼_2_1,北校区,14.95,a1,2
36,36,北区产业楼,北区产业楼_1_1,北校区,79.61,a1,2
37,37,北区产业楼,北区产业楼_1_2,北校区,7.86,a1,2
38,38,北大门,北大门_1_1,南校区,9.81,a161,0
39,39,北大门,北大门_2_1,南校区,7.34,a161,0
40,40,北大门,北大门_3_1,南校区,3.67,a161,0
41,41,北实验室楼,北实验室楼_1_1,北校区,12.12,a142,0
42,42,北实验室楼,北实验室楼_2_1,北校区,9.77,a142,0
43,43,北松园锅炉房,北松园锅炉房_1_1,新校区,4.41,a199,0
44,44,北松园锅炉房,北松园锅炉房_2_1,新校区,7.96,a199,0
45,45,北松园锅炉房,北松园锅炉房_3_1,新校区,3.53,a199,0
46,46,北校区办公楼,北校区办公楼_1_2,北校区,2.87,a6,0
47,47,北校区办公楼,北校区办公楼_1_1,北校区,14.93,a6,0
48,48,北校区化工楼,北校区化工楼_3_1,北校区,13.31,a12,3
49,49,北校区化工楼,北校区化工楼_2_1,北校区,16.54,a12,3
50,50,北校区化工楼,北校区化工楼_1_1,北校区,13.31,a12,3
51,51,北校区实验楼,北校区实验楼_2_1,北校区,20.13,a18,1
52,52,北校区实验楼,北校区实验楼_1_2,北校区,3.58,a18,1
53,53,北校区实验楼,北校区实验楼_1_1,北校区,24.78,a18,1
54,54,北校区小礼堂,北校区小礼堂_1_1,北校区,6.92,a140,0
55,55,北校区小礼堂,北校区小礼堂_1_2,北校区,2.68,a140,0
56,56,北校区新教学楼,北校区新教学楼_2_1,北校区,18.84,a10,1
57,57,北校区新教学楼,北校区新教学楼_1_2,北校区,3.85,a10,1
58,58,北校区新教学楼,北校区新教学楼_1_3,北校区,4.43,a10,1
59,59,北校区新教学楼,北校区新教学楼_1_1,北校区,23.87,a10,1
60,60,北校区机械工程学院,北校区机械工程学院_1_1,北校区,12.01,a141,0
61,61,北校区机械工程学院,北校区机械工程学院_2_1,北校区,9.52,a141,0
62,62,北校区管理楼,北校区管理楼,北校区,10.7,a7,0
63,63,北校区综合楼,北校区综合楼_1_1,北校区,22.34,b357,0
